CGS	;CGS
Metso Power Oy	;Metso Power Oy
Ministerio de Ciencia e Innovacion of the Spanish Government	;Ministerio de Ciencia e Innovacion of the Spanish Government
Research Foundation of Gaziantep Univesity	;Research Foundation of Gaziantep Univesity
Office of the National Research Council of Thailand	;Office of the National Research Council of Thailand
ITAKA	;ITAKA research group
URIF	;University Research Internal Fund  URIF  from the Universiti Teknologi PETRONAS Malaysia
Regional Government Xunta de Galicia	;Regional Government Xunta de Galicia
Sogang University	;Sogang University
Samsung	;Samsung
Fundacao para a Ciencia e Tecnologia Portugal	;Fundacao para a Ciencia e Tecnologia Portugal
Canadian Natural Sciences and Engineering Research Council	;Canadian Natural Sciences and Engineering Research Council
IT Elektronika company	;IT Elektronika company
GIA	;Grupo de Ingenieria Avanzada  GIA  of the Aragon Institute of Technology;grupo de Investigacion en Inteligencia Artificial   GIA  de la Universidad Tecnologica de Pereira  UTP;Spanish Ministry of Industry the Grupo de Ingenieria Avanzada  GIA  of the Aragon Institute of Technology
Research Committee of the Hong Kong Polytechnic University	;Research Committee of the Hong Kong Polytechnic University
CNPq Brazil	;CNPq Brazil
Spanish Ministry of Industry Tourism and Commerce	;Spanish Ministry of Industry Tourism and Commerce
Prevention of and Fight against Crime Programme of the European Union	;Prevention of and Fight against Crime Programme of the European Union
Deutsche Forschungsgemeinschaft	;Deutsche Forschungsgemeinschaft
Slovenian Research Agency	;Slovenian Research Agency
US Army Combat Casualty Care Research Program	;US Army Combat Casualty Care Research Program
MEC-MINECO	;MEC-MINECO projects CONSOLIDER-INGENIO
MEST	;Korea government  MEST;Korean government  MEST;MEST;Ministry of Education Science and Technology  MEST;Ministry of Education Science and Technology  MEST  Republic of Korea;National Research Foundation of Korea grant - Korean government  MEST
MOST	;Ministry of Science and Technology  MOST  in China;Ministry of science and Technology  MOST  Taiwan
KACST	;King Abdul-Aziz City for Science and Technology  KACST;King Abdulaziz City for Science and Technology  KACST  through the Science & Technology Unit at King Fahd University of Petroleum & Minerals  KFUPM;King Abdulaziz City for Science and Technology  KACST  through the Science & Technology Unit at King Fahd University of Petroleum & Minerals  KFUPM  as part of the National Science Technology and Innovation Plan;King Abdulaziz City for Science and Technology  KACST  through the Science & Technology Unit at King Fahd University of Petroleum & Minerals  KFUPM  National Science Technology and Innovation Plan;King Abdulaziz City for Science and Technology  KACST  through the Science and Technology Unit at King Fahd University of Petroleum and Minerals  KFUPM  as part of the National Science Technology and Innovation Plan
third accented term of  211 engineering  subject constructing	;third accented term of  211 engineering  subject constructing
Keio University Research Institute for Digital Media	;Keio University Research Institute for Digital Media
University of Szeged	;University of Szeged
Fondo Sectorial de Investigacion para la Educacion-CONACyT	;Fondo Sectorial de Investigacion para la Educacion-CONACyT
Key Science and Technology Project of Henan Province	;Key Science and Technology Project of Henan Province
Urban-Rural Development of the People's Republic Of China	;Urban-Rural Development of the People's Republic Of China
Isidro Parga Pondal	;Isidro Parga Pondal
Key Projects in the National Science & Technology Pillar Program	;Key Projects in the National Science & Technology Pillar Program
Rathman  Kadifa  Fund	;Rathman  Kadifa  Fund
NHMRC	;Australian National Health and Medical Research Council  NHMRC
863 Hi-Tech Research and Development program of China	;863 Hi-Tech Research and Development program of China
AUT	;Amirkabir University of Technology  AUT  research fund;AUT SRIF
SSN	;SSN College of Engineering
Higher Education Commission of Pakistan under indigenous PhD scholarship programme	;Higher Education Commission of Pakistan under indigenous PhD scholarship programme
Reuniwatt Company	;Reuniwatt Company
Fundamental Research Funds for the Central Universities China	;Fundamental Research Funds for the Central Universities China
Ministry of Education and Hong Kong Scholar Program in China	;Ministry of Education and Hong Kong Scholar Program in China
Knowledge Technology	;Knowledge Technology
National Science Council Taiwan Taiwan	;National Science Council Taiwan Taiwan
KMUTT	;King Mongkut's University of Technology Thonburi  KMUTT
Suranaree University of Technology	;Suranaree University of Technology
General Authority for Applied Education and Training in Kuwait	;General Authority for Applied Education and Training in Kuwait
Hunan Natural Science Foundation	;Hunan Natural Science Foundation
Ministry of Science Research and Technology Tehran Iran	;Ministry of Science Research and Technology Tehran Iran
Swiss Paraplegic Foundation	;Swiss Paraplegic Foundation
Jiangsu University College Student Scientific Research Project	;Jiangsu University College Student Scientific Research Project
Malaviya National Institute of Technology Jaipur	;Malaviya National Institute of Technology Jaipur
Engineering and Physical Sciences Research Council's Flood Risk Management Research Consortium	;Engineering and Physical Sciences Research Council's Flood Risk Management Research Consortium
Institute for Education Sciences	;Institute for Education Sciences
Ministry of Education	;Ministry of Education
Tianjin Key Laboratory of Cognitive Computing and Application	;Tianjin Key Laboratory of Cognitive Computing and Application
Inovasyon Muhendislik	;Inovasyon Muhendislik
EU Marie Curie Program	;EU Marie Curie Program
Natural Science Foundation of the Jiangsu Higher Education Institutions of China	;Natural Science Foundation of the Jiangsu Higher Education Institutions of China
University of Jaen and Caja Rural de Jaen	;University of Jaen and Caja Rural de Jaen
Innovation Talent Project of Henan Province	;Innovation Talent Project of Henan Province
Opal Producers Australia Ltd	;Opal Producers Australia Ltd
CNPq  Brazilian Council for Scientific and Technological Development	;CNPq  Brazilian Council for Scientific and Technological Development
Nasco companies	;Nasco companies
Yeungnam University Research Grant	;Yeungnam University Research Grant
IST	;EU IST;IST;IST Programme of the EC under PASCAL2
CHIRON	;CHIRON
Bristol Centre for Complexity Sciences	;Bristol Centre for Complexity Sciences
National Natural Science Foundation Project	;National Natural Science Foundation Project
MSIP	;Korea government  MSIP;MSIP  Ministry of Science ICT and Future Planning  Korea under the ITRC  Information Technology Research Center  support program
National Institutes of Health/National Heart Lung and Blood Institute	;National Institutes of Health/National Heart Lung and Blood Institute
ESPRC	;ESPRC
MICINN-Spain	;MICINN-Spain
NSERC	;Canadian NSERC Discovery Grant;National Science and Engineering Research Council  NSERC;National Science and Engineering Research Council  NSERC  of Canada;National Science and Engineering Research Council of Canada  NSERC;Natural Science and Engineering Research Center  NSERC  of Canada;Natural Science and Engineering Research Council  NSERC  of Canada;Natural Science and Engineering Research Council of Canada  NSERC;Natural Sciences and Engineering Council of Canada  NSERC;Natural Sciences and Engineering Research Council  NSERC;Natural Sciences and Engineering Research Council  NSERC  of Canada;Natural Sciences and Engineering Research Council of Canada  NSERC;NSERC;NSERC  Canada;NSERC  Natural Sciences anLd ElnginreeriLng Coulncil of Canada;NSERC Discovery;NSERC Discovery Grant
China 863 HighTech Program	;China 863 HighTech Program
National Key Basic Research and Development Program of China	;National Key Basic Research and Development Program of China
National Sciences Foundation of China	;National Sciences Foundation of China
Spanish Ministry of Science	;Spanish Ministry of Science
Chinese 111 project on Nuclear Safety and Simulation	;Chinese 111 project on Nuclear Safety and Simulation
Industrial Strategic Technology Development Program - Ministry of Trade Industry & Energy  MI Korea	;Industrial Strategic Technology Development Program - Ministry of Trade Industry & Energy  MI Korea
Grant Agency of the Czech Republic	;Grant Agency of the Czech Republic
FRQNT	;Fonds de Recherche du Quebec Nature et Technologies  FRQNT;Fonds de Recherche du Quebec-Nature et Technologies  FRQNT
CSIC	;CSIC
University of Cordoba	;University of Cordoba
NSF	;National Science Foundation  NSF;National Science Foundation  NSF  BEACON Center;National Science Foundation  NSF  BEACON Center under Cooperative;National Science Foundation  NSF  EECS-EPAS;National Science Foundation  NSF  under EPSCoR;National Science Foundation Graduate Research Fellowship  NSF;NSF;NSF CAREER Award;NSF EAGER;NSF FIBR;NSF Graduate Research Fellowship;NSF of China;US National Science Foundation  NSF;US NSF
Engineers Canada-TD Meloche Monnex	;Engineers Canada-TD Meloche Monnex
Directorate of Research Extension and Advisory Services U E T  Lahore-Pakistan	;Directorate of Research Extension and Advisory Services U E T  Lahore-Pakistan
National Foundation Research Project	;National Foundation Research Project
Erasmus Program  European Commission	;Erasmus Program  European Commission
Centre for Applied Cybernetics	;Centre for Applied Cybernetics
Iranian Nano Technology Initiative	;Iranian Nano Technology Initiative
Appalachian Rural Health Institute Diabetes Research Initiative	;Appalachian Rural Health Institute Diabetes Research Initiative
National Council for Scientific and Technological Development-CNPq	;National Council for Scientific and Technological Development-CNPq
Google Focused Research Award	;Google Focused Research Award
NSRF	;Greek national funds through the Operational Program  Education and Lifelong Learning  of the National Strategic Reference Framework  NSRF;Greek national funds through the Operational Program  Education and Lifelong Learning  of the National Strategic Reference Framework  NSRF  - Research Funding Program  THALES  Investing in knowledge society through the European Social Fund;Greek national funds through the Operational ProgTam  Education and Lifelong Learning  of the National Strategic Reference Framework  NSRF;Lifelong Learning  of the National Strategic Reference Framework  NSRF   Funding Program   HOU
Research Affairs of Univ  of Tabriz	;Research Affairs of Univ  of Tabriz
3DLife EU Network of Excellence  NoE	;3DLife EU Network of Excellence  NoE
Astronomy Department of Villanova University	;Astronomy Department of Villanova University
Research Affairs of Najafabad Branch Islamic Azad University Iran	;Research Affairs of Najafabad Branch Islamic Azad University Iran
Research & Development Operational Programme	;Research & Development Operational Programme
Ministry of Education of the Czech Republic	;Ministry of Education of the Czech Republic
BMWFJ	;BMWFJ Austria
Agusta Westlands	;Agusta Westlands
PSTC	;Process Science & Technology Center  PSTC  at the University of Texas at Austin
Electrical & Electronics Engineering Dept Sam Higginbottom Institute of Agriculture Technology & Sciences- Deemed University Allahabad India	;Electrical & Electronics Engineering Dept Sam Higginbottom Institute of Agriculture Technology & Sciences- Deemed University Allahabad India
Center for the Management of Systemic Risk at Columbia University	;Center for the Management of Systemic Risk at Columbia University
Center of Informatics of Federal University of Pernambuco - CIn/UFPE - Brazil	;Center of Informatics of Federal University of Pernambuco - CIn/UFPE - Brazil
National Council of Science and Technology  CONACyT  in Mexico	;National Council of Science and Technology  CONACyT  in Mexico
CAREER	;National Science Foundation CAREER Award Project 'Reliability as an Emergent Property of Transportation Networks';National Science Foundation through Faculty Early Career Development  CAREER  award;National Science Foundation under CAREER Award
SUT	;Ministry of Science and Higher Education of Poland of the Faculty of Mechanical Engineering SUT
Federal Technological University of Parana	;Federal Technological University of Parana
Academy of Finland	;Academy of Finland
Tenaga Nasional Berhad	;Tenaga Nasional Berhad
Lanzhou University	;Lanzhou University
Nord-Pas de Calais	;Nord-Pas de Calais
National Council for Research and Development  CNPq	;National Council for Research and Development  CNPq
SMP	;Secretaria del Metro de Panama  SMP
CNCSIS	;CNCSIS;CNCSIS - UEFISCDI  Romanian National University Research Council;CNCSIS - UEFISCDI PNII - IDEI Grant;CNCSIS PNCDI2 grant
Science and Technology Planning Project of Ministry of Housing	;Science and Technology Planning Project of Ministry of Housing
University of A Coruna	;University of A Coruna
Technische Universitat Dortmund	;Technische Universitat Dortmund
Ministry of Trade Industry and Energy of the Republic of Korea under the Industrial Source Technology Development Programs	;Ministry of Trade Industry and Energy of the Republic of Korea under the Industrial Source Technology Development Programs
Stiftelsens for Abo Akade-Forskningsinstitut	;Stiftelsens for Abo Akade-Forskningsinstitut
Ministerio do Ensino Superior	;Ministerio do Ensino Superior
Republic of China National Science Council	;Republic of China National Science Council
US Office of Naval Research	;US Office of Naval Research
The University of Isfahan	;The University of Isfahan
Portuguese Government	;Portuguese Government
ERCIM	;ERCIM
DEPIN	;Operational Program DEPIN of Western Greece Region under the LEADERA framework project  Healthy Sleep and Exercise Analysis Tool  hSEAT
Fatih University	;Fatih University
Smart-Products European project	;Smart-Products European project
ICREA	;ICREA
Osteopathic College of Medicine Research and Scholarly Affairs Committee	;Osteopathic College of Medicine Research and Scholarly Affairs Committee
UCB	;Catholic University of Brasilia - UCB
Department of Health  England	;Department of Health  England
Advanced Materials Research Center Islamic Azad University of Najafabad Najafabad Iran	;Advanced Materials Research Center Islamic Azad University of Najafabad Najafabad Iran
DOE	;DOE Office of Science by Argonne National Laboratory
POCI	;POCI 2010
Bourgogne regional council  Regional French administration	;Bourgogne regional council  Regional French administration
DREAM-GO	;European Union's Horizon research and innovation programme under the Marie Sklodowska-Curie grant  project DREAM-GO
Czech Grant Foundation	;Czech Grant Foundation
University of Alberta	;University of Alberta
Graduate Research Fellowship	;Graduate Research Fellowship
IPM	;Institute for Research in Fundamental Sciences  IPM
LHNCBC	;U S  Lister Hill National Center for Biomedical Communications  LHNCBC
ANCS	;National Authority for Scientific Research  MEdC ANCS;Partnership in priority areas-PN-II program - ANCS CNDI - UEFISCDI project
Editors of Journal Knowledge-Based Systems	;Editors of Journal Knowledge-Based Systems
Artificial Intelligence and Computer Science Laboratory of the University of Porto	;Artificial Intelligence and Computer Science Laboratory of the University of Porto
NNSF	;National Natural Science Foundation  NNSF  of China;NNSF
Australian Government as represented by the Department of Broadband Communications and the Digital Economy and the Australian Research Council	;Australian Government as represented by the Department of Broadband Communications and the Digital Economy and the Australian Research Council
Regroupement Strategique en Microsystemes du Quebec  ReSMiQ	;Regroupement Strategique en Microsystemes du Quebec  ReSMiQ
Research Grant Council of the Hong Kong Special Administrative Region China	;Research Grant Council of the Hong Kong Special Administrative Region China
Ministry of Education Science and Technology	;Ministry of Education Science and Technology
University of Technology Sydney	;University of Technology Sydney
AbbVie	;AbbVie
American University of Sharjah	;American University of Sharjah
Prolec-IIE	;Prolec-IIE
European Project	;European Project
FAPERJ	;FAPERJ  Fundacao Carlos Chagas Filho de Amparo a Pesquisa do Estado do Rio de Janeiro;FAPERJ  Fundacao de Amparo a Pesquisa do Estado do Rio de Janeiro;Fundacao de Amparo a Pesquisa do Estado do Rio de Janeiro - FAPERJ;Rio de Janeiro State Research Supporting Foundation  FAPERJ
Donna Ambrose	;Donna Ambrose
THESEUS	;THESEUS Program in the RadSpeech project - German Federal Ministry of Economics and Technology
NDSEG	;National Defense Science and Engineering Graduate Fellowship Program  NDSEG
Hong Kong Polytechnic University Internal Competitive Research	;Hong Kong Polytechnic University Internal Competitive Research
Research Office at the University of Tabriz	;Research Office at the University of Tabriz
FIRST	;FIRST programme from JSPS;FIRST Quantum Information Processing project
Florida Department of Environmental Protection Florida Coastal Management Program  through National Oceanic and Atmospheric Administration	;Florida Department of Environmental Protection Florida Coastal Management Program  through National Oceanic and Atmospheric Administration
Brazilian Research Councils CNPq	;Brazilian Research Councils CNPq
Italian Ministero degli Affari Esteri	;Italian Ministero degli Affari Esteri
MEC-CICYT	;Programa MEC-CICYT project MOSAIC-LEARNING
ARINF	;ARINF
Beiijng University of Chinese Medicine	;Beiijng University of Chinese Medicine
General Directorate of Research Development and Innovation  Direccion Xeral de Investigacion Desenvolvemento e Innovacion	;General Directorate of Research Development and Innovation  Direccion Xeral de Investigacion Desenvolvemento e Innovacion
National Social Science Fund of China	;National Social Science Fund of China
National Science Council of Taiwan Republic of China	;National Science Council of Taiwan Republic of China
ICT	;Australian Research Council through the ICT Centre of Excellence program;Daegu Gyeongbuk Institute of Science and Technology Research and Development Program of the Ministry of Science ICT & Future Planning of Korea;EU ICT Iot est project;Ministry of Science ICT and Future Planning  MSIP;National ICT Australia  NICTA;National Research Foudation of Korea - Ministry of Science ICT and Future Planning
INNI	;Israeli National Nanotechnology Initiative  INNI FTA project
James L  Waters Annual Symposium Committee	;James L  Waters Annual Symposium Committee
863 program	;863 program
Economic and Social Research Council UK	;Economic and Social Research Council UK
Department of Mechanical Engineering at M V G R  College of Engineering from the institution for establishment of Mechatronics Lab	;Department of Mechanical Engineering at M V G R  College of Engineering from the institution for establishment of Mechatronics Lab
ISO	;ISO
CIHR	;Canadian Institutes for Health Research  CIHR;Canadian Institutes for Health Research  CIHR  through a Science Policy Fellowship;CIHR
PON	;PON MALET
PERD	;Natural Resources Canada's Program of Energy Research and Development  PERD
University of Zaragoza	;University of Zaragoza
BMBF	;BMBF;Federal Ministry for Education and Research  BMBF;German Federal Ministry of Education and Research  BMBF;German Ministry for Education and Research   Bundesministerium fur Bildung und Forschung BMBF;German Ministry for Education and Research  BMBF;TREAT20plus through the German Federal Ministry for Research  BMBF
Northeast Forestry University	;Northeast Forestry University
Dutch Ministry of Transport	;Dutch Ministry of Transport
National Institutes of Health Small Business Innovation Research grant	;National Institutes of Health Small Business Innovation Research grant
GODO2	;Spanish Ministry of Industry Tourism and Commerce under the project GODO2
TWCF	;Templeton World Charity Foundation  TWCF
Higher Education Funding Council for England	;Higher Education Funding Council for England
CEMI	;Center for Excellence in Mining Innovation  CEMI  in Sudbury Ontario
Universiti Teknologi Malaysia's Research University Grant	;Universiti Teknologi Malaysia's Research University Grant
Shandong academy of sciences the guide of science and technology	;Shandong academy of sciences the guide of science and technology
Department of Education Universities and Research of the Basque Government	;Department of Education Universities and Research of the Basque Government
Polish National Science Centre	;Polish National Science Centre
German Research Foundation	;German Research Foundation
Universidad de Cordoba	;Universidad de Cordoba
Walt Disney Company	;Walt Disney Company
NICHD	;NICHD  NCMRR;NICHD NIH HHS
Agence Nationale Pour la Recherche - Technologies pour la Sante	;Agence Nationale Pour la Recherche - Technologies pour la Sante
Andalusian Regional Ministry	;Andalusian Regional Ministry
Universiti Teknologi Malaysia Malaysia	;Universiti Teknologi Malaysia Malaysia
National Science Council of the Republic of China Taiwan	;National Science Council of the Republic of China Taiwan
Cambridge Overseas Trust	;Cambridge Overseas Trust
Vicerrectorado de Investigacion University of Alicante Alicante Spain	;Vicerrectorado de Investigacion University of Alicante Alicante Spain
Institute of Technology Carlow	;Institute of Technology Carlow
Spanish Government	;Spanish Government
INIBIC	;Institute for Biomedical Informatics of A Coruna  INIBIC
Faculty of Information and Communication Technology Mahidol University	;Faculty of Information and Communication Technology Mahidol University
Nanzan University	;Nanzan University
Hanyang University	;Hanyang University
OPTIMTRAF	;OPTIMTRAF
DSFP	;Distinguished Scientist Fellowship Program DSFP  at King Saud University
SSHRC	;Canada's Social Sciences and Humanities Research Council  SSHRC  through a Joseph Armand Bombardier Canada Graduate Scholarship
National Fond for Scientific Research to the Bulgarian Ministry of Education and Science	;National Fond for Scientific Research to the Bulgarian Ministry of Education and Science
BioDat research group	;BioDat research group
Parks Canada	;Parks Canada
Harbin Institute of Technology Harbin China	;Harbin Institute of Technology Harbin China
major and basic project of State Grid Foresight Science and Technology	;major and basic project of State Grid Foresight Science and Technology
Shandong Natural Science Foundation	;Shandong Natural Science Foundation
Optics and Electronics	;Optics and Electronics
Humboldt research fellowship for postdoctoral researchers program	;Humboldt research fellowship for postdoctoral researchers program
Systems Centre	;Systems Centre
EU Aided Asia IT & C of China  Integration and application of technology on rural compositive information services	;EU Aided Asia IT & C of China  Integration and application of technology on rural compositive information services
HCTP	;Health Care Place & Technology  HCTP
Arizona Department of Environmental Quality  Air Quality Division and Director's Special Initiative on Children's Health	;Arizona Department of Environmental Quality  Air Quality Division and Director's Special Initiative on Children's Health
Program of Excellent Young Teachers in Southeast University	;Program of Excellent Young Teachers in Southeast University
CogVis team at the University of Hamburg Germany	;CogVis team at the University of Hamburg Germany
FAPESP	;FAPESP;FAPESP  Sao Paulo Research Foundation;FAPESP  The Scientific Research Foundation of the State of Sao Paulo Brazil;Fundacao de Amparo a Pesquisa do Estado de Sao Paulo  FAPESP;Research Support Foundation of Sao Paulo  FAPESP;Sao Paulo Research Foundation  FAPESP
International Academy of Telepathology e V	;International Academy of Telepathology e V
American University of Beirut University Research Board	;American University of Beirut University Research Board
national research project	;national research project
DAAD	;DAAD;German Academic Exchange Service  DAAD;German Academic Exchange Service  DAAD Deutscher Akademischer Austauschdienst;German Academic Exchange Service DAAD
Open Project Foundation of Information Technology Research Base of Civil Aviation Administration of China	;Open Project Foundation of Information Technology Research Base of Civil Aviation Administration of China
AFOSR	;AFOSR;AFOSR research
DGEST	;General Council of Superior Technological Education of Mexico  DGEST
BRIER	;BRIER
Naval Surface Warfare Center Combatant Craft Division	;Naval Surface Warfare Center Combatant Craft Division
University of Tabriz Iran	;University of Tabriz Iran
NIDRR	;National Institute on Disability and Rehabilitation Research  NIDRR  US
French Centre National de la Recherche Scientifique	;French Centre National de la Recherche Scientifique
Instituto Politecnico Nacional	;Instituto Politecnico Nacional
Iranian Ministry of Science Research and Technology	;Iranian Ministry of Science Research and Technology
Center for Global Leadership	;Center for Global Leadership
SNSF	;Swiss National Science Foundation  SNSF
CSI	;California Solar Initiative  CSI  Research Development Demonstration and Deployment  RD&D  Program Grant III
project Cognilego	;project Cognilego
Pfizer	;Pfizer
Faculty of Graduate Studies and Research University of Regina	;Faculty of Graduate Studies and Research University of Regina
National Research Foundation Prime Minister's Office Singapore under Competitive Research Programme	;National Research Foundation Prime Minister's Office Singapore under Competitive Research Programme
Ministerio do Ensino Superior da Ciencia e da Tecnologia Portugal	;Ministerio do Ensino Superior da Ciencia e da Tecnologia Portugal
Canada Research Chair in Artificial Intelligence	;Canada Research Chair in Artificial Intelligence
Council of Education of the Regional Government of Castilla-Leon	;Council of Education of the Regional Government of Castilla-Leon
NRF	;Basic Science Research Program through National Research Foundation of Korea  NRF  - Ministry of Education;Basic Science Research Program through the National Research Foundation of Korea  NRF  - Ministry of Education;Basic Science Research Program through the National Research Foundation of Korea  NRF  - Ministry of Education Science and Technology;Basic Science Research Program through the National Research Foundation of Korea  NRF  - Ministry of Science ICT and Future Planning;Basic Sience Research Program through the national Research Foundation of Korea  NRF  - Ministry of Education;Leading Foreign Research Institute Recruitment Program through the National Research Foundation of Korea  NRF;National Research Foundation  NRF;National Research Foundation of Korea  NRF;National Research Foundation of Korea  NRF  - Korea Government;National Research Foundation of Korea  NRF  - Korea government  MSIP;National Research Foundation of Korea  NRF  - Korean government  MSIP;National Research Foundation of Korea  NRF  grant - Korea Government;National Research Foundation of Korea  NRF  grant - Korean Government  MSIP;National Research Foundation of Korea NRF;National Research Foundation of Korea NRF  grant - Korea government MSIP;NRF;NRF project  Intelligent Smart City Convergence Platform;NRF project  Intelligent Smart City Convergence Platform Project;Priority Research Centres Programme through the NRF of Korea
National Science Council in Taiwan	;National Science Council in Taiwan
Marie Curie reintegration grant	;Marie Curie reintegration grant
Australian Government's Cooperative Research Centre Programme	;Australian Government's Cooperative Research Centre Programme
Weill Cornell Medical College	;Weill Cornell Medical College
Electrical Engineering Doctoral Program from the National Polytechnic School  Ecuador	;Electrical Engineering Doctoral Program from the National Polytechnic School  Ecuador
Fuel Cells and Hydrogen Joint Technology Initiative	;Fuel Cells and Hydrogen Joint Technology Initiative
Medical Research Council	;Medical Research Council
Opening Project of Jiangsu Institute of Marine Resources	;Opening Project of Jiangsu Institute of Marine Resources
School of Graduate Studies	;School of Graduate Studies
National High-tech Research and Development Project of China	;National High-tech Research and Development Project of China
A I Tech s r l	;A I Tech s r l
NASA	;NASA;NASA Advanced Exploration Systems program;NASA Airspace Systems Program;NASA Ames;NASA Ames Research Center;NASA Astrobiology Science and Technology Instrument Development Program;National Aeronautics and Space Administration  NASA;National Aeronautics and Space Administration  NASA  Gulf of Mexico Research Grant
Hong Kong Polytechnic University Research Grant	;Hong Kong Polytechnic University Research Grant
University of Seville	;University of Seville
FORMALISM	;Spanish Min  of Educ  and Science by the FORMALISM project
National Science Council  Taiwan	;National Science Council  Taiwan
Shahrekord University	;Shahrekord University
Internal Competitive Research Grants of the Department of Computing	;Internal Competitive Research Grants of the Department of Computing
Ministry of Education and Science Republic of Serbia	;Ministry of Education and Science Republic of Serbia
Key Laboratory of Power System Protection	;Key Laboratory of Power System Protection
OHSU	;Intel under the OHSU BAIC project
Junta de Andalucia Project	;Junta de Andalucia Project
national project	;national project
National Council for Scientific and Technological Development  CNPq	;National Council for Scientific and Technological Development  CNPq
ARO	;Army Research Office  ARO;ARO grants;ARO through DARPA
DHU	;DHU Distinguished Young Professor Program
Biomedical Engineering Department Science and Research Branch Islamic Azad University Tehran Iran	;Biomedical Engineering Department Science and Research Branch Islamic Azad University Tehran Iran
G  Gaslini Foundation Genova Italy	;G  Gaslini Foundation Genova Italy
Ministry of Education and Science of Republic of Serbia	;Ministry of Education and Science of Republic of Serbia
thousand talents program for the pioneer researcher and the innovation team in China	;thousand talents program for the pioneer researcher and the innovation team in China
SAIA	;SAIA
ALMA-CONICYT	;ALMA-CONICYT fund
European Regional Development Fund in the IT4Innovations Centre of Excellence project	;European Regional Development Fund in the IT4Innovations Centre of Excellence project
National Key Technology Research and Development Program	;National Key Technology Research and Development Program
NASA's Science Mission Directorate	;NASA's Science Mission Directorate
Ohio University	;Ohio University
EDENS	;EDENS project  Eco-District Energy Network Systems
Department of Industrial and Systems Engineering of The Hong Kong Polytechnic University	;Department of Industrial and Systems Engineering of The Hong Kong Polytechnic University
Georgia Space Grant Program	;Georgia Space Grant Program
National Research and Engineering Council of Canada	;National Research and Engineering Council of Canada
Shanghai Key Laboratory of Financial Information Technology  Shanghai University of Finance and Economics	;Shanghai Key Laboratory of Financial Information Technology  Shanghai University of Finance and Economics
Maaja Vesitekniikan Tuki ry	;Maaja Vesitekniikan Tuki ry
European Social Fund	;European Social Fund
State of Hungary	;State of Hungary
Key research and development program of Shaanxi Province	;Key research and development program of Shaanxi Province
UFABC	;UFABC
Fundacao de Amparo A Pesquisa do Estado do Rio de Janeiro	;Fundacao de Amparo A Pesquisa do Estado do Rio de Janeiro
RoboSoM EU project	;RoboSoM EU project
IDEI	;Romanian IDEI
Geographic Information System group University College of Southeast Norway	;Geographic Information System group University College of Southeast Norway
2006 Inje University Special Research Grant	;2006 Inje University Special Research Grant
JGRE	;Office of the Secretary of Defense Joint Ground Robotics Enterprise  JGRE
Isidro Parga Pondal Program Xunta de Galicia Spain	;Isidro Parga Pondal Program Xunta de Galicia Spain
Care Apparel Centre Institute of Textiles and Clothing The Hong Kong Polytechnic University	;Care Apparel Centre Institute of Textiles and Clothing The Hong Kong Polytechnic University
Brazilian Electricity Regulatory Agency	;Brazilian Electricity Regulatory Agency
European Commission's Directorate-General for Education and Culture	;European Commission's Directorate-General for Education and Culture
Slovak Grant Agency of the Ministry of Education	;Slovak Grant Agency of the Ministry of Education
Kookmin University in Korea	;Kookmin University in Korea
Universiti Sains Malaysia Research University  RU  grant	;Universiti Sains Malaysia Research University  RU  grant
MKE	;Ministry of Knowledge Economy  MKE;Technology Innovation Program funded by the Ministry of Knowledge Economy MKE Korea
Atlantic Innovation Fund	;Atlantic Innovation Fund
GISEL	;Grupo de Investigacion en Sistemas de Energia Electrica  GISEL  from Escuela de Ingenierias Electrica Electronicay Telecomunicaciones  E3T  at Universidad Industrial de Santander  UIS
DST	;Department of Science and Technology  DST  Government of India;Department of Science and Technology  DST  India;Department of Science and Technology  DST  New Delhi;DST;DST Government of India
Fundamental Research Funds for the Central Universities	;Fundamental Research Funds for the Central Universities
Science Fund of Hebei University of Science and Technology	;Science Fund of Hebei University of Science and Technology
Al-Balqa Applied University in Jordan	;Al-Balqa Applied University in Jordan
CSBR	;CSBR  Centres for Systems Biology Research  initiative from the Netherlands Organisation for Scientific Research  NWO
Government of Andalusia	;Government of Andalusia
National Institute for Nursing Research	;National Institute for Nursing Research
Association for Forests Development and Conservation	;Association for Forests Development and Conservation
Natural Science Foundation of Hebei Province	;Natural Science Foundation of Hebei Province
FORTH-ICS	;FORTH-ICS internal RTD Programme  Ambient Intelligence and Smart Environments
Spanish BabeLData  Multilinguismo en Ontologias y Linked Data project	;Spanish BabeLData  Multilinguismo en Ontologias y Linked Data project
FEDE	;Spanish Ministry of Science and Innovation+European FEDE
UNISIM	;UNISIM
Intel Corporation	;Intel Corporation
Department of Education of Guangdong Province	;Department of Education of Guangdong Province
Educational Commission of Hubei Province of China	;Educational Commission of Hubei Province of China
MIT	;MIT
Thousands Talents program for pioneer researcher and his innovation team China	;Thousands Talents program for pioneer researcher and his innovation team China
Institute of Systems and Robotics  ISR-Coimbra	;Institute of Systems and Robotics  ISR-Coimbra
Natural Science and Engineering Research Council of Canada	;Natural Science and Engineering Research Council of Canada
Liverpool  UK	;Liverpool  UK
University Roma Tre  Internationalization Project	;University Roma Tre  Internationalization Project
FNRS	;Belgian National Fund for Scientific Research  FNRS;FNRS  Fonds National de la Recheche Scientifique Brussels;Fonds de la Recherche Scientifique - FNRS
