111 Project	111 Project;
IUT de Lens	IUT de Lens;
IWT  Agentschap voor innovatie door Wetenschap en Technologie Baekeland-mandaat	IWT-Vlaanderen;IWT  Agentschap voor innovatie door Wetenschap en Technologie Baekeland-mandaat;Agency for Innovation by Science and Technology in Flanders  IWT;
Interdisciplinary Center for Clinical Research  IZKF Aachen  RWTH Aachen University Medical School Aachen Germany	JAE program  Spanish National Research Council - CSIC;Interdisciplinary Center for Clinical Research  IZKF Aachen  RWTH Aachen University Medical School Aachen Germany;
James L  Waters Annual Symposium Committee	James L  Waters Annual Symposium Committee;
James Martin School	James Martin School;
Jamia Millia Islamia New Delhi  India  University of KwaZulu-Natal Durban  South Africa	Jamia Millia Islamia New Delhi  India  University of KwaZulu-Natal Durban  South Africa;
Janos Bolyai Postdoctoral Scholarship	Janos Bolyai Postdoctoral Scholarship;
Japan Society for the Promotion of Science	Japan Society for the Promotion of Science;
Japanese Ministry of Education Science Sports and Culture	Japanese Ministry of Education Science Sports and Culture;
Japanese Monbukagakusho	Japanese Monbukagakusho;
Japanese Society for the Promotion of Science	Japanese Society for the Promotion of Science;
Jardine Foundation	Jardine Foundation;
Javeriana University at Bogota Colombia	Javeriana University at Bogota Colombia;
Jaypee University Engineering & Technology Guna  M P	Jaypee University Engineering & Technology Guna  M P;
JCCM  Junta de Comunidades de Castilla-La Mancha	Jenny ja Antti Wihurin Rahasto;JCCM  Junta de Comunidades de Castilla-La Mancha;
Jepson Fellowship - the University of Mary Washington	Jepson Fellowship - the University of Mary Washington;
Jet Propulsion Laboratory	Jet Propulsion Laboratory;
Office of the Secretary of Defense Joint Ground Robotics Enterprise  JGRE	Office of the Secretary of Defense Joint Ground Robotics Enterprise  JGRE;
Jiangsu Philosophical and Social Science Program for Colleges and Universities	Jiangsu Philosophical and Social Science Program for Colleges and Universities;
Jiangsu Provincial Clinical Orthopedic Center	Jiangsu Provincial Clinical Orthopedic Center;
Jiangsu University College Student Scientific Research Project	Jiangsu University College Student Scientific Research Project;
Japan International Cooperation Agency  JICA	Japan International Cooperation Agency  JICA;
Jilin Agricultural University	Jilin Agricultural University;
Jinan Municipal Research Award to Xin Ma	Jinan Municipal Research Award to Xin Ma;
Joe C  Davis Foundation	Joe C  Davis Foundation;
John S  Dunn Research Foundation	John S  Dunn Research Foundation;
JRB	JSPS KAKENHI Grant;JSPS KAKENHI;JSPS;Japan Society for the Promotion of Science  JSPS;JRB;
Junta Castilla y Leon funds	Junta de Andalucia;Junta Castilla y Leon funds;
Junta de Andalucia  Andalusian Regional Council  Spain	Junta de Andalucia  Andalusian Regional Council  Spain;
Junta de Andalucia Project	Junta de Andalucia Project;
Junta de Castilla and Leon project	Junta de Castilla and Leon project;
Junta de Castilla y Leon's project	Junta de Comunidades de Castilla-La mancha;Junta de Castilla y Leon's project;
Junta de Comunidades de Castilla-La Mancha project	Junta de Comunidades de Castilla-La Mancha project;
Junta de Comunidades de Castilla-La Mancha within the iCoLab project	Junta de Comunidades de Castilla-La Mancha within the iCoLab project;
K  H  Renlunds stiftelsen	K  H  Renlunds stiftelsen;
K C  Wong Magna Fund in Ningbo University	K C  Wong Magna Fund in Ningbo University;
King Abdulaziz City for Science and Technology  KACST  through the Science and Technology Unit at King Fahd University of Petroleum and Minerals  KFUPM  as part of the National Science Technology and Innovation Plan	King Abdulaziz City for Science and Technology  KACST  through the Science and Technology Unit at King Fahd University of Petroleum and Minerals  KFUPM  as part of the National Science Technology and Innovation Plan;King Abdulaziz City for Science and Technology  KACST  through the Science & Technology Unit at King Fahd University of Petroleum & Minerals  KFUPM  National Science Technology and Innovation Plan;King Abdulaziz City for Science and Technology  KACST  through the Science & Technology Unit at King Fahd University of Petroleum & Minerals  KFUPM  as part of the National Science Technology and Innovation Plan;King Abdulaziz City for Science and Technology  KACST  through the Science & Technology Unit at King Fahd University of Petroleum & Minerals  KFUPM;King Abdul-Aziz City for Science and Technology  KACST;
KAIST Settlement and Research of New Instructors Fund	KAIST Settlement and Research of New Instructors Fund;IT Convergence Campus Fund of KAIST;
KAKENHI	KAKENHI;
Kansas State University Electric Power Affiliate Program	Kansas State University Electric Power Affiliate Program;
Kansas Technology Enterprise Corporation	Kansas Technology Enterprise Corporation;
Kaplan Center for the Humanities	Kaplan Center for the Humanities;
Karunya University	Karunya University;
Karyopharm	Karyopharm;
KEGA	KEGA;
Keio University Research Institute for Digital Media	Keio University Research Institute for Digital Media;
Key Development Program of Basic Research of China	Key Development Program of Basic Research of China;
Key Laboratory for Shanghai Integrated Information Security Management Technology Research	Key Laboratory for Shanghai Integrated Information Security Management Technology Research;
Key Laboratory for Symbol Computation and Knowledge Engineering of the National Education Ministry of China	Key Laboratory for Symbol Computation and Knowledge Engineering of the National Education Ministry of China;
Key Laboratory of Agricultural Information of Jiangxi Agricultural University	Key Laboratory of Agricultural Information of Jiangxi Agricultural University;
Key Laboratory of Multimedia and Intelligent Software Technology at Beijing University of Technology	Key Laboratory of Multimedia and Intelligent Software Technology at Beijing University of Technology;
Key Laboratory of Optimization Control and Engineering Calculation in Department of Guangxi Education	Key Laboratory of Optimization Control and Engineering Calculation in Department of Guangxi Education;
Key Laboratory of Power System Protection	Key Laboratory of Power System Protection;
Key National Natural Science Foundation of China	Key National Natural Science Foundation of China;
Key Program of the National Natural Science Foundation of China	Key Program of the National Natural Science Foundation of China;
Key Project of Chinese Ministry of Education	Key Project of Chinese National Programs for Fundamental Research and Development  973 program;Key Project of Chinese Ministry of Education;
Key Projects in the National Science & Technology Pillar Program	Key Projects in the National Science & Technology Pillar Program;
Key research and development program of Shaanxi Province	Key research and development program of Shaanxi Province;
Key Science and Technology Project of Henan Province	Key Science and Technology Project of Henan Province China;Key Science and Technology Project of Henan Province;
Key Science and Technology Research Program	Key Science and Technology Research Program;
KFAS	KFAS;
Center for Clean Water and Clean Energy at King Fahd University of Petroleum & Minerals  KFUPM	King Fahd University of Petroleum and Minerals  KFUPM;King Fahd University of Petroleum & Minerals  KFUPM;KFUPM Deanship of Scientific Research grant;Center for Clean Water and Clean Energy at King Fahd University of Petroleum & Minerals  KFUPM;
Karlsruhe House of Young Scientists  KHYS	Karlsruhe House of Young Scientists  KHYS;
Korea Institute for Advancement in Technology  KIAT	Korea Institute for Advancement in Technology  KIAT;
European Institute of Innovation and Technology under the KIC InnoEnergy New Mat Project	KIC Inno Energy;European Institute of Innovation and Technology under the KIC InnoEnergy New Mat Project;
Basic Research Project of the Korea Institute of Geo-science and Mineral Resources  KIGAM	Basic Research Project of the Korea Institute of Geo-science and Mineral Resources  KIGAM;
King Abdulaziz City for Science and Technology Kingdom of Saudi Arabia	King Abdulaziz City for Science and Technology Kingdom of Saudi Arabia;
King Abdulaziz City for Science and Technology through the Science & Technology Unit at King Fahd University of Petroleum & Minerals as part of the National Science Technology and Innovation Plan	King Abdulaziz City for Science and Technology through the Science & Technology Unit at King Fahd University of Petroleum & Minerals as part of the National Science Technology and Innovation Plan;
King Abdulaziz University	King Abdulaziz University of Saudi Arabia;King Abdulaziz University;
King Fahd University of Petroleum and Mineral Saudi Arabia	King Fahd University of Petroleum and Minerals;King Fahd University of Petroleum and Mineral Saudi Arabia;
King Fahd University of Petroleum Minerals	King Fahd University of Petroleum Minerals;
King Mongkut's University of Technology Thonburi	King Saud University;King Mongkut's University of Technology Thonburi;
Kiromic	Kiromic;
Korea Institute of Science and Technology  KIST	Knowledge Innovation Program of the Chinese Academy of Sciences;King Mongkut's University of Technology Thonburi  KMUTT;Korea Institute of Science and Technology  KIST;
Knowledge Park Bangalore	Knowledge Park Bangalore;
Knowledge Technology	Knowledge Technology;
Knut and Alice Wallenberg Foundation	Knut and Alice Wallenberg Foundation;
Kocaeli University within the framework of the Scientific Research Projects Unit	Kocaeli University within the framework of the Scientific Research Projects Unit;
Koine Sistemi	Koine Sistemi;
Konkuk University	Konkuk University;
Kookmin University in Korea	Kookmin University in Korea;
National Research Foundation of KOREA	National Research Foundation of KOREA;
Korea Breast Cancer Foundation	Korea University;Korea Research Foundation;Korea Ministry of Environment;Korea Breast Cancer Foundation;
Korean Bible University	Korean Bible University;
Korean Government	Korean Government;
Korean Ministry of Education Science and Technology	Korean Ministry of Education Science and Technology;
Korean Ministry of Knowledge Economy	Korean Ministry of Knowledge Economy;
Korea Science and Engineering Foundation KOSEF  - the Korea government MEST	Korea Science and Engineering Foundation KOSEF  - the Korea government MEST;Korea Science and Engineering Foundation  KOSEF;
Korea Industrial Technology Foundation  KOTEF	Korea Industrial Technology Foundation  KOTEF;
Dutch Knowledge Network on System Innovations and Transitions  KSI	Dutch Knowledge Network on System Innovations and Transitions  KSI;
Kuraray Co  Japan	Kuraray Co  Japan;
project  Priemyselny vyskum a experimentalny vyvoj v spolo p nosti KYBERNETES s r o  Industrial Research and Experimental Development in the Company Kybernetes s r o	project  Priemyselny vyskum a experimentalny vyvoj v spolo p nosti KYBERNETES s r o  Industrial Research and Experimental Development in the Company Kybernetes s r o;
Kyoto College of Graduate Studies for Informatics	Kyoto College of Graduate Studies for Informatics;
laboratory branch of 9th Regional Directorate of Highways Diyarbakir	laboratory branch of 9th Regional Directorate of Highways Diyarbakir;
Laboratory for Engineered Human Protection Department of Defense/US Army Natick Soldier Systems Center	Laboratory for Engineered Human Protection Department of Defense/US Army Natick Soldier Systems Center;
Materials Characterization Laboratory  LACAM  Center of Non-Destructive Testing  CENDE	Materials Characterization Laboratory  LACAM  Center of Non-Destructive Testing  CENDE;
LACTEC  Institute of Technology for Development	LACTEC Brazil;LACTEC  Institute of Technology for Development;
Lahore University of Management Sciences	Lahore University of Management Sciences Pakistan;Lahore University of Management Sciences;
fruit tree LAI un-inspective estimation model and real-time detection based on optical spectrum information	fruit tree LAI un-inspective estimation model and real-time detection based on optical spectrum information;
LaMCoS  INSA-Lyon	Lanzhou University;LaMCoS  INSA-Lyon;
LASIGE	LASIGE;
Laurel Wilkening Faculty Innovation award	Laval University;Laurel Wilkening Faculty Innovation award;
FP7-Health Program under the LCAOS	FP7-Health Program under the LCAOS;
Leading Scientific School of the Russian Federation	Leading Scientific School of the Russian Federation;
Leading Scientific Schools of Russian Federation	Leading Scientific Schools of Russian Federation;
Leeds Metropolitan University studentship	Leeds Metropolitan University studentship;
Leiden University	Leiden University;
Leon Levy Foundation	Leon Levy Foundation;
Leverhulme Trust	Leverhulme Trust;
U S  Lister Hill National Center for Biomedical Communications  LHNCBC	U S  Lister Hill National Center for Biomedical Communications  LHNCBC;
Libyan Ministry of Higher Education and Scientific Research	Libyan Ministry of Higher Education and Scientific Research;
Liikesivistysrahasto	Liikesivistysrahasto;
Lisa Moore	Lisa Moore;
Lithuanian state science and studies foundation	Lithuanian state science and studies foundation;
Liverpool  UK	Liverpool  UK;
LIX-Qualcomm Postdoctoral Fellowship	LIX-Qualcomm Postdoctoral Fellowship;
Atigeo LLC	Atigeo LLC;
Louisiana Transportation Research Center  LTRC	Louisiana Transportation Research Center  LTRC;
Lynn and William Frankel center for Computer Sciences	Lynn and William Frankel center for Computer Sciences;
Lynne and William Frankel Center for Computer Sciences	Lynne and William Frankel Center for Computer Sciences;
Maaja Vesitekniikan Tuki ry	Maaja Vesitekniikan Tuki ry;
National Plan for Sciences Technology and Innovation  MAARIFAH	National Plan for Sciences Technology and Innovation  MAARIFAH;
MacArthur Foundation	MADIS of the Chinese Academy of Sciences;MacArthur Foundation;
Mae Fah Luang University	Mae Fah Luang University;
MAEC-AECID	MAEC-AECID;
MAIA EOLIS	MAIA EOLIS;
major and basic project of State Grid Foresight Science and Technology	major and basic project of State Grid Foresight Science and Technology;
Major National Science and Technology	Major National Science and Technology;
Major State Basic Research Development Program	Major State Basic Research Development Program;
Malaviya National Institute of Technology Jaipur	Malaviya National Institute of Technology Jaipur;
Malaysia Ministry of Higher Education for Fundamental Research Grant Scheme	Malaysia Ministry of Higher Education for Fundamental Research Grant Scheme;
Malaysia Ministry of Higher Education under Fundamental Research Grant Scheme	Malaysia Ministry of Higher Education under Fundamental Research Grant Scheme;
Malaysian Government Research Grant	Malaysian Government Research Grant;
Malaysian Higehr education and Universiti Teknolgi Malaysia	Malaysian Higehr education and Universiti Teknolgi Malaysia;
Malaysian Ministry of Education	Malaysian Ministry of Education;
Malaysian Ministry of Higher Education	Malaysian Ministry of Higher Education;
Malaysian Ministry of Science Technology and Innovation under Science Fund	Malaysian Ministry of Science Technology and Innovation under Science Fund;
Malaysian Technical University Research Grant	Malaysian Technical University Research Grant;
Mansoura University Egypt	Mansoura University Egypt;
Research and Management Institute Universiti Teknologi MARA	Research and Management Institute Universiti Teknologi MARA;
MARCO  via FENA Center	MARCO  via FENA Center;
Marie Curie reintegration grant	Marie Curie reintegration grant;
Marie Curie Research Training Network	Marie Curie Research Training Network;
Marine Technology Education and Research Center Seoul National University Korea	Marine Technology Education and Research Center Seoul National University Korea;
Marmara University Directorate of Scientific Research Projects	Marmara University Directorate of Scientific Research Projects;
Marquette University Milwaukee WI	Marquette University Milwaukee WI;
Marsden Fund Council	Marsden Fund Council;
MARSRERC program of the Rehabilitation Institute of Chicago	MARSRERC program of the Rehabilitation Institute of Chicago;
Masdar Institute of Science and Technology	Masdar Institute of Science and Technology;
Masdar Institute-MIT collaborative agreement  Flagship Project	Masdar Institute-MIT collaborative agreement  Flagship Project;
Mid- Atlantic Universities Transportation Center   MAUTC	Mid- Atlantic Universities Transportation Center   MAUTC;
MAVSEL project   Mining data analysis and visualization based in social aspects of e-learning	MAVSEL project   Mining data analysis and visualization based in social aspects of e-learning;
Max Planck Center for Visual Computing and Communication	Max Planck Center for Visual Computing and Communication;
Max Planck Society	Max Planck Society;
Spanish MCI grant	MCT;Spanish MCI grant;Spanish MCI;
MCT/CNPq - Brazil	MCT/CNPq - Brazil;
MCTES	MCTES;
MCTI	MCYT;MCTI;
MCYT-FEDER	MCYT-FEDER;
Spanish Ministry of Education and Science  MEC	MEC-MINECO projects CONSOLIDER-INGENIO;Programa MEC-CICYT project MOSAIC-LEARNING;Spanish Ministry of Education and Science  MEC;Spanish Ministry  MEC;Spanish Ministerio de Educacion y Ciencia  MEC;Spanish MEC MEDICI;Spanish MEC;MEC THOMAS;MEC I+D;MEC;
Medellin City  Colombia  through the  Enlazamundos  program	Medellin City  Colombia  through the  Enlazamundos  program;
Medical Research Council	Medical Research Council UK;Medical Research Council  UK;Medical Research Council;
Mediterranean Shipping Company S A	Mediterranean Shipping Company S A;
Medtronic	Medtronic;
Melbourne Centre	Mellon Foundation;Melbourne Centre for Financial Studies;Melbourne Centre;
MELOMICS project from the Spanish Ministerio de Ciencia e Innovacion	MELOMICS project from the Spanish Ministerio de Ciencia e Innovacion;
memorial funding program of the graduate school of economics Osaka University	memorial funding program of the graduate school of economics Osaka University;
Memorial University of Newfoundland	Memorial University of Newfoundland;
Harvard-MIT Health Sciences and Technology MEMP	Harvard-MIT Health Sciences and Technology MEMP;
Menofia University  Egypt	National Research Foundation of Korea grant - Korean government  MEST;Ministry of Education Science and Technology  MEST  Republic of Korea;Ministry of Education Science and Technology  MEST;MEST;Korean government  MEST;Korea government  MEST;Menofia University  Egypt;
Ministry of Economy Trade and Industry  METI  Japan	Ministry of Economy Trade and Industry  METI  Japan;
Metron Aviation	Metron Aviation;
Metso Power Oy	Metso Power Oy;
METU Research Council	METU Research Council;
Mexican National Council for Science and Technology  CONACyT	Mexican National Council for Science and Technology  CONACyT;
Japanese Ministry of Education Culture Sports Science and Technology  MEXT	MEXT;Japan's Ministry of Education Culture Sports Science and Technology  MEXT;Japanese Ministry of Education Culture Sports Science and Technology  MEXT;
MFDD	MFDD;
MFMSuite	MFMSuite;
Ministry of Human Resource Development  MHRD  New Delhi India	Ministry of Human Resource Development  MHRD  New Delhi India;MHRD Govt of India;
Miami University Armstrong Institute	Miami University Armstrong Institute;
9th Mexican International Conference on Artificial Intelligence  MICAI	9th Mexican International Conference on Artificial Intelligence  MICAI;
Michigan State University High Performance Computing Center	Michigan State University High Performance Computing Center;
Michigan Tech Research Institute	Spanish MICINN under project ANYSELF;Spanish MICINN;Spanish Government  MICINN;Spanish Board for Science and Technology  MICINN;Ministry of Science and Innovation  Ministerio de Ciencia e Innovacion - MICINN  through the  Jose Castillejo  program from Government of Spain;MICINN TIN;MICINN  Ministerio de Ciencia e Innovacion Spain;MICINN;Juan de la Cierva Ministerio de Ciencia e Innovacion  MICINN  Spain;Government of Spain  MICINN;Michigan Tech Research Institute;
MICINN-Spain	MICINN-Spain;
Microsoft	Microsoft Technical Computing Initiative;Microsoft Studios;Microsoft Romania;Microsoft Research New Faculty Fellowship;Microsoft Research Asia;Microsoft Research;Microsoft Live Labs;Microsoft Corporation;Microsoft;
Spanish Inter-Ministerial Commission of Science and Technology  MICYT	Spanish Ministerial Commission of Science and Technology  MICYT;Spanish Inter-Ministerial Commission of Science and Technology  MICYT;MICYT;
Midi-Pyrenees region	Midi-Pyrenees region;
Min  de Educacion y Ciencia Spain	Min  de Educacion y Ciencia Spain;
Singapore Ministry of Defence  MINDEF	Singapore Ministry of Defence  MINDEF;
Spanish Ministry of Economy and Competitiveness   MINECO	Spanish Ministry of Economy and Competitiveness  MINECO;Spanish Ministry of Economy and Competitiveness   MINECO;Spanish MINECO;Spanish Government under research project MINECO;Project MINECO;MINECO Spain;MINECO;
Ministere de l'Education Nationale de la Recherche et de la Technologie	Ministerio de Ciencia e Innovacion;Ministere de l'Education Nationale de la Recherche et de la Technologie;
Ministerio de Ciencia e Innovacion of the Spanish Government	Ministerio de Ciencia e Innovacion of the Spanish Government;
Ministerio de Ciencia e Innovacion Spain	Ministerio de Cienciae Innovacion of the Spanish Government;Ministerio de Ciencia e Innovacion Spain;
Ministerio de Educacion of Spain	Ministerio de Educacion of Spain;
Ministerio de Educacion y Ciencia	Ministerio de Educacion y Ciencia;
Ministerio de Educacion y Cultura R O del Uruguay	Ministerio de Educacion y Cultura R O del Uruguay;
Ministerio de Industria Turismo y Comercio  MITyC Spain	Ministerio de Industria Turismo y Comercio  MITyC Spain;
Ministerio de Industria Turismo y Comercio del Gobierno de Espana	Ministerio de Industria Turismo y Comercio del Gobierno de Espana;
Ministerio do Ensino Superior	Ministerio do Ensino Superior da Ciencia e da Tecnologia Portugal;Ministerio do Ensino Superior;
Ministero dell'Istruzione dell'Universita e della Ricerca Project	Ministero dell'Istruzione dell'Universita e della Ricerca Project;
Ministero dell'Universita e della Ricerca Italy	Ministero dell'Universita e della Ricerca Italy;
Ministero per l'Universita e la Ricerca Scientifica e Tecnologica  Rome Italy	Ministero per l'Universita e la Ricerca Scientifica e Tecnologica  Rome Italy  the University of Perugia;Ministero per l'Universita e la Ricerca Scientifica e Tecnologica  Rome Italy;
Ministry for Climate Protection Environment Agriculture Nature Conservation and Consumer Protection of the State of North Rhine-Westphalia	Ministry for Climate Protection Environment Agriculture Nature Conservation and Consumer Protection of the State of North Rhine-Westphalia;
Ministry of Commerce Industry and Energy Korea Institute of Industrial Technology	Ministry of Construction & Transportation of the Korean government;Ministry of Commerce Industry and Energy Korea Institute of Industrial Technology;
Ministry of Economic Affairs	Ministry of Economic Affairs;
Ministry of Economy and Competitiveness of Spain	Ministry of Education  Science and Technology;Ministry of Education;Ministry of Economy and Competitiveness of Spain;
Ministry of Education and Hong Kong Scholar Program in China	Ministry of Education and Research;Ministry of Education and Hong Kong Scholar Program in China;
Ministry of Education and Research Romania	Ministry of Education and Research Romania;
Ministry of Education and Science of Republic of Serbia	Ministry of Education and Science of Republic of Serbia;
Ministry of Education and Science of Spain	Ministry of Education and Science of Spain;
Ministry of Education and Science of the Republic of Serbia	Ministry of Education and Science of the Republic of Serbia;
Ministry of Education and Science Poland	Ministry of Education and Science Poland;
Ministry of Education and Science Republic of Serbia	Ministry of Education and Science Republic of Serbia;
Ministry of Education and Science Spain	Ministry of Education and Science Spain;
Ministry of Education and Sports Czech Republic	Ministry of Education China;Ministry of Education and Sports Czech Republic;
Ministry of Education Culture Sports Science and Technology Japan	Ministry of Education Culture Sports Science and Technology of Japan;Ministry of Education Culture Sports Science and Technology Japan at Osaka University;Ministry of Education Culture Sports Science and Technology Japan;
Ministry of Education Malaysia	Ministry of Education Malaysia;
Ministry of Education of China	Ministry of Education of China;
ministry of education of Guangdong province	ministry of education of Guangdong province;
Ministry of Education of Spain	Ministry of Education of Spain;
Ministry of Education of the Czech Republic	Ministry of Education of the Czech Republic under program  National research program II;Ministry of Education of the Czech Republic;
Ministry of Education Research and Innovation Romania	Ministry of Education Research and Innovation Romania;
Ministry of Education Science and Technological Development  Government of the Republic of Serbia	Ministry of Education Science and Technological Development  Government of the Republic of Serbia;
Ministry of Education Science and Technological Development of Serbia	Ministry of Education Science and Technological Development of Serbia;
Ministry of Education Science and Technological Development of the Republic of Serbia	Ministry of Education Science Sports and Culture;Ministry of Education Science and Technology;Ministry of Education Science and Technological Development of the Republic of Serbia;
Ministry of Education Science Sports and Culture in Japan	Ministry of Education Science Sports and Culture in Japan;
Ministry of Education Science Sports and Culture of Japan	Ministry of Education Science Sports and Culture of Japan;
Ministry of Education Taiwan	Ministry of Education Taiwan;
Ministry of Education Youth and Sports	Ministry of Education Youth and Sports of the Czech Republic;Ministry of Education Youth and Sports of Czech Republic;Ministry of Education Youth and Sports;
Ministry of Foreign and European Affairs	Ministry of Foreign and European Affairs;
Ministry of Foreign Relations	Ministry of Foreign Relations;
Ministry of Health/UnA-SUS	Ministry of Higher Education  Malaysia;Ministry of Higher Education;Ministry of Health/UnA-SUS;
Ministry of Higher Education and Research France	Ministry of Higher Education and Research France;
Ministry of Higher Education and Scientific Research  Algiers	Ministry of Higher Education and Scientific Research  Algiers;
Ministry of Higher Education and Scientific Research in Algeria	Ministry of Higher Education of Malaysia;Ministry of Higher Education Malaysia;Ministry of Higher Education and Scientific Research in Algeria;
Ministry of Higher Education of Malaysia and University of Malaya	Ministry of Higher Education of Malaysia and University of Malaya;
Ministry of Human Resource and Development Govt  of India New Delhi	Ministry of Human Resource and Development Govt  of India New Delhi;
Ministry of Human Resource Development Government of India	Ministry of Knowledge Economy;Ministry of Human Resource Development Government of India;
Ministry of National Education of the Republic of Indonesia	Ministry of National Education of the Republic of Indonesia;
Ministry of National Education Romania	Ministry of National Education Romania;
Ministry of Regional Municipalities and Water Resources of the Sultanate of Oman	Ministry of Regional Municipalities and Water Resources of the Sultanate of Oman;
Ministry of Research and Technology and Higher Education Republic of Indonesia	Ministry of Research and Technology and Higher Education Republic of Indonesia;
Ministry of research technology and higher education of the Republic of Indonesia	Ministry of research technology and higher education of the Republic of Indonesia;
Ministry of Science & Technology of China	Ministry of Science & Technology of China;
Ministry of Science and Higher Education Republic of Poland	Ministry of Science and Higher Education Republic of Poland;
Ministry of Science and Innovation of Spain	Ministry of Science and Innovation of Spain;
Ministry of Science and Technological Development of Serbia	Ministry of Science and Technological Development of Serbia;
Ministry of Science and Technological Development of the Republic of Serbia	Ministry of Science and Technological Development of the Republic of Serbia;
Ministry of Science and Technological Development Republic of Serbia	Ministry of Science and Technological Development Republic of Serbia;
Ministry of Science and Technology Israel	Ministry of Science and Technology Israel;
Ministry of Science and Technology of Serbia	Ministry of Science and Technology of Serbia;
Ministry of Science and Technology of Taiwan	Ministry of Science and Technology of Taiwan R O C;Ministry of Science and Technology of Taiwan;
Ministry of Science and technology Republic of Srpska Government	Ministry of Science and technology Republic of Srpska Government;
Ministry of Science and Technology Taiwan	Ministry of Science and Technology Taiwan;
Ministry of Science of Serbia	Ministry of Science of Serbia;
Ministry of Science Republic of Serbia	Ministry of Science Republic of Serbia;
Ministry of Science Research and Technology Tehran Iran	Ministry of Science Research and Technology Tehran Iran;
Ministry of Science Research and the Arts of the State of Baden-Wurttemberg	Ministry of Science Technology and Innovation;Ministry of Science Research and the Arts of the State of Baden-Wurttemberg;
Ministry of Science Technology and Innovation Malaysia	Ministry of Science Technology and Innovation Malaysia;
Ministry of Science Technology and Innovation of Malaysia	Ministry of Science Technology and Innovation of Malaysia;
Ministry of Sciences of Serbia	Ministry of ScienceTechnology and Innovation of Malaysia;Ministry of Sciences of Serbia;
Ministry of Trade Industry and Energy of the Republic of Korea under the Industrial Source Technology Development Programs	Ministry of Trade Industry and Energy of the Republic of Korea under the Industrial Source Technology Development Programs;
Ministry of Training and Education of Vietnam	Ministry of Training and Education of Vietnam;
Ministry of University and Research of Italy	Ministry of University and Research of Italy;
Ministry of Water Resources and Irrigation Egypt	Ministry of Water Resources and Irrigation Egypt;
Mid-InfraRed Technologies for Health and the Environment  MIRTHE  Center	MIT;Mid-InfraRed Technologies for Health and the Environment  MIRTHE  Center;
MITACS	MITACS-NCE Research Project;MITACS;
MIT-Portugal Program	MIT-Portugal Program;
MITRE Corporation of America Veterans Affairs Rehabilitation Research and Development Merit Award	MITRE Corporation of America Veterans Affairs Rehabilitation Research and Development Merit Award;
Spanish Ministry of Industry  MITYC	Spanish Ministry of Industry MITYC;Spanish Ministry of Industry  MITYC;
Ministry of Education Universities and Research  MIUR  under PON project	MIUR under the PON project TETRIS;MIUR under the PON project FRAME;MIUR PRIN MISURA  multivariate models for risk assessment;MIUR  Italian Ministry of Education University and Research;MIUR;Ministry of Education Universities and Research  MIUR  under PON project;
Italian project MIUR-PRIN	Italian project MIUR-PRIN;
Ministry for Innovation Science Research and Technology  MIWFT	Ministry for Innovation Science Research and Technology  MIWFT;
Mizuno Technical Institute	Mizuno Technical Institute;
Technology Innovation Program funded by the Ministry of Knowledge Economy MKE Korea	Technology Innovation Program funded by the Ministry of Knowledge Economy MKE Korea;Ministry of Knowledge Economy  MKE;
Japan's Ministry of Land Infrastructure Transport and Tourism  MLIT	Ministry of Land Infrastructure Transport and Tourism  MLIT;Japan's Ministry of Land Infrastructure Transport and Tourism  MLIT;
Korea Institute of Construction and Transportation Technology Evaluation and Planning under the Ministry of Land Transport and Maritime Affairs  MLTM	Korea Institute of Construction and Transportation Technology Evaluation and Planning under the Ministry of Land Transport and Maritime Affairs  MLTM;
Ministry of Commerce Industry and Energy  MOCIE	Korean Government  MOEHRD Basic Research Promotion Fund;Singapore MOE AcRF;Singapore MOE Academic tier-1 research grant;Ministry of Education  MOE;Malaysian Ministry of Education  MOE  under Fundamental Research Grant Scheme;Malaysian Ministry of Education  MOE;Ministry of Commerce Industry and Energy  MOCIE;
Ministry of Higher Education Malaysia  MOHE  via the Research Acculturation Grant Scheme  RAGS	Monash University Sunway Campus Ministry of Science Technology and Innovation Malaysia;Monash University;Ministry of Higher Education Malaysia  MOHE;Ministry of Higher Education Malaysia  MOHE  via the Research Acculturation Grant Scheme  RAGS;Ministry of Higher Education Malaysia  MOHE;Ministry of Higher Education  MOHE  Malaysia under Research University Grant  RUG  Program;Ministry of Higher Education  MOHE  Malaysia;Ministry of Higher Education  MOHE;
Moritz Gobelbecker	Moritz Gobelbecker;
mOSAIC	mOSAIC;
Ministry of Science and Technology  MOST  in China	Ministry of science and Technology  MOST  Taiwan;Ministry of Science and Technology  MOST  in China;
Malaysian Ministry of Science Technology and Innovation  MOSTI  under Science Fund	MOSTI  Ministry of Science Technology and Innovation Malaysia;Ministry of Science Technology and Innovation Malaysia  MOSTI;Ministry of Science Technology and Innovation Malaysia  MOSTI;Ministry of Science Technology and Innovation  MOSTI  Malaysia;Ministry of Science Technology and Innovation  MOSTI;Malaysian Ministry of Science Technology and Innovation  MOSTI  under Science Fund;Malaysian Ministry of Science Technology and Innovation  MOSTI;E-Science Ministry of Science Technology and Innovation  MOSTI;
Motorola	Motorola;
Moves International Fitness Mammoth Lakes CA	Moves International Fitness Mammoth Lakes CA;
Singapore MPLP project Nanyang Technological University	MRC;Singapore MPLP project Nanyang Technological University;
National Science Foundation MRI award	MSC  Mediterranean Shipping Company S A;National Science Foundation MRI award;
